Section,Section ID,Trade Value,Year,Country,,,,,,,,,,
"""Animal Hides""",8,1571774107,2018,,,,,,,,,,,
"""Wood Products""",9,2117552316,2018,,,,,,,,,,,
"""Paper Goods""",10,3443444679,2018,,,,,,,,,,,
"""Textiles""",11,9845349685,2018,,,,,,,,,,,
"""Footwear and Headwear""",12,2127832128,2018,,,,,,,,,,,
"""Stone And Glass""",13,2649335018,2018,,,,,,,,,,,
"""Precious Metals""",14,6346755914,2018,,,,,,,,,,,
"""Metals""",15,12223351294,2018,,,,,,,,,,,
"""Machines""",16,57598757566,2018,,,,,,,,,,,
"""Transportation""",17,34960466432,2018,,,,,,,,,,,
"""Instruments""",18,7415216711,2018,,,,,,,,,,,
"""Weapons""",19,318034161.4,2018,,,,,,,,,,,
"""Miscellaneous""",20,8239782147,2018,,,,,,,,,,,
"""Arts and Antiques""",21,87725615.38,2018,,,,,,,,,,,
,,,,,,,,,,,,,,
"""Machines""",,17493,,China,,,,,国家和地区,金额,同比%,占比%,,
"""Machines""",,6397,,America,,,,,韩国,"2,954",-31.5,15.9,,
"""Machines""",,2401,,Germany,,,,,马来西亚,"2,850",3.2,15.4,,
"""Machines""",,2194,,Japan,,,,,新加坡,"2,817",-24.2,15.2,,
"""Machines""",,1750,,Malaysia,,,,,日本,"1,957",-22.8,10.5,,
"""Transportation""",,6817,,Japan,,,,,阿联酋,"1,134",-21.3,6.1,,
"""Transportation""",,5398,,Thailand,,,,,,,,,,
"""Transportation""",,4119,,America,,,,,,,,,,
"""Transportation""",,3636,,Germany,,,,,,,,,,
"""Transportation""",,2141,,Korea,,,,,,,,,,
"""Mineral Products""",,2954,,Korea,,,,,国家和地区,金额,同比%,占比%,,
"""Mineral Products""",,2850,,Malaysia,,,,,美国,"2,833",0.1,15.9,,
"""Mineral Products""",,2817,,Singapore,,,,,中国,"2,042",4.9,11.4,,
"""Mineral Products""",,1957,,Japan,,,,,德国,"1,724",6.7,9.7,,
"""Mineral Products""",,1134,,The United Arab Emirates,,,,,爱尔兰,"1,376",58.9,7.7,,
"""Chemical Products""",,2833,,America,,,,,瑞士,855,-11.5,4.8,,
"""Chemical Products""",,2042,,China,,,,,,,,,,
"""Chemical Products""",,1724,,Germany,,,,,,,,,,
"""Chemical Products""",,1376,,Ireland,,,,,,,,,,
"""Chemical Products""",,855,,Switzerland,,,,,,,,,,
