Section,Section ID,Trade Value,Year,Country
"""Animal and Vegetable Bi-Products""",3,393586566.9,2015,
"""Foodstuffs""",4,6617072873,2015,
"""Mineral Products""",5,42101740307,2015,
"""Chemical Products""",6,35487131965,2015,
"""Plastics and Rubbers""",7,11932147298,2015,
"""Animal Hides""",8,259335253.1,2015,
"""Wood Products""",9,95896038.94,2015,
"""Paper Goods""",10,2443812955,2015,
"""Textiles""",11,1177526231,2015,
"""Footwear and Headwear""",12,185093759.5,2015,
"""Stone And Glass""",13,325998339,2015,
"""Precious Metals""",14,10103751396,2015,
"""Metals""",15,7559015208,2015,
"""Machines""",16,94663855027,2015,
"""Transportation""",17,5458217736,2015,
"""Instruments""",18,12021135217,2015,
"""Weapons""",19,23510823.65,2015,
"""Miscellaneous""",20,508253358.2,2015,
"""Arts and Antiques""",21,127158603.8,2015,
"""Animal Products""",1,433908067.4,2016,
"""Vegetable Products""",2,492245055.7,2016,
"""Animal and Vegetable Bi-Products""",3,548016885.5,2016,
"""Foodstuffs""",4,6385981754,2016,
"""Mineral Products""",5,34432003866,2016,
"""Chemical Products""",6,26867094234,2016,
"""Plastics and Rubbers""",7,10895942349,2016,
"""Animal Hides""",8,405993487.2,2016,
"""Wood Products""",9,83066923.85,2016,
"""Paper Goods""",10,1896697114,2016,
"""Textiles""",11,1053356240,2016,
"""Footwear and Headwear""",12,165200809.1,2016,
"""Stone And Glass""",13,176050804.6,2016,
"""Precious Metals""",14,12148711452,2016,
"""Metals""",15,5341999875,2016,
"""Machines""",16,84867964654,2016,
"""Transportation""",17,5023381282,2016,
"""Instruments""",18,12224308499,2016,
"""Weapons""",19,11585440.5,2016,
"""Miscellaneous""",20,507188826,2016,
"""Arts and Antiques""",21,58242038.08,2016,
"""Animal Products""",1,642145723.8,2017,
"""Vegetable Products""",2,530194017.9,2017,
"""Animal and Vegetable Bi-Products""",3,400946715.8,2017,
"""Foodstuffs""",4,7162943002,2017,
"""Mineral Products""",5,45940333983,2017,
"""Chemical Products""",6,34083383808,2017,
"""Plastics and Rubbers""",7,13334093059,2017,
"""Animal Hides""",8,461533982.1,2017,
"""Wood Products""",9,68826433.06,2017,
"""Paper Goods""",10,1979649549,2017,
"""Textiles""",11,1296435707,2017,
"""Footwear and Headwear""",12,275617659.9,2017,
